,"activity, %"
ARHGAP22,0
Actin_BR,76
Actin_ST,85
Arp2_3,76
CP,53
Cdc42,51
Cofilin,73
Coronin,81
Cortactin,73
Dia1,5
Dia2,97
Ena_Vasp,90
IRSp53_Cdc42,51
IRSp53_Rac1,78
LIMK,17
NET1,19
PAK,79
PIP2,48
PKD,14
Profilin,87
ROCK,14
ROS,0
Rac1,78
RhoA,19
SSH,81
Thymosin,17
WASP,77
WAVE,89
