,"activity, %"
Actin_BR,0
Actin_ST,62
Arp2_3,0
CP,50
Cdc42,51
Cofilin,6
Coronin,8
Cortactin,0
Dia1,50
Dia2,100
Ena_Vasp,98
IRSp53,51
LIMK,92
PAK,96
PIP2,50
PKD,92
Profilin,62
ROCK,92
ROCK_,92
Rac1,0
RhoA,100
SSH,8
Thymosin,49
WASP,49
WAVE,0
