,"activity, %"
ARHGAP22,82
Actin_BR,3
Actin_ST,85
Arp2_3,3
CP,1
Cdc42,47
Cofilin,4
Coronin,9
Cortactin,12
Dia1,87
Dia2,97
Ena_Vasp,94
IRSp53_Cdc42,47
IRSp53_Rac1,12
LIMK,90
NET1,49
PAK,50
PIP2,51
PKD,82
Profilin,87
ROCK,82
ROS,12
Rac1,12
RhoA,88
SSH,9
Thymosin,95
WASP,0
WAVE,0
