,"activity, %"
ARHGAP22,75
Actin_BR,44
Actin_ST,40
Arp2_3,44
CP,100
Cdc42,48
Cofilin,45
Coronin,21
Cortactin,21
Dia1,0
Dia2,94
Ena_Vasp,99
IRSp53_Cdc42,48
IRSp53_Rac1,21
LIMK,79
NET1,0
PAK,52
PIP2,0
PKD,75
Profilin,46
ROCK,75
ROS,21
Rac1,21
RhoA,79
SSH,21
Thymosin,52
WASP,46
WAVE,27
