,"activity, %"
ARHGAP22,0
Actin_BR,49
Actin_ST,41
Arp2_3,49
CP,27
Cdc42,52
Cofilin,0
Coronin,82
Cortactin,49
Dia1,0
Dia2,52
Ena_Vasp,71
IRSp53_Cdc42,52
IRSp53_Rac1,49
LIMK,3
NET1,0
PAK,65
PIP2,51
PKD,0
Profilin,75
ROCK,0
ROS,49
Rac1,49
RhoA,0
SSH,82
Thymosin,50
WASP,50
WAVE,66
