,base,ARHGAP22,ARHGAP22_Arp2_3,ARHGAP22_CP,ARHGAP22_Cdc42,ARHGAP22_Cofilin,ARHGAP22_Coronin,ARHGAP22_Cortactin,ARHGAP22_Dia1,ARHGAP22_Dia2,ARHGAP22_Ena_Vasp,ARHGAP22_IRSp53_Cdc42,ARHGAP22_IRSp53_Rac1,ARHGAP22_LIMK,ARHGAP22_NET1,ARHGAP22_PAK,ARHGAP22_PIP2,ARHGAP22_PKD,ARHGAP22_Profilin,ARHGAP22_ROCK,ARHGAP22_ROS,ARHGAP22_Rac1,ARHGAP22_RhoA,ARHGAP22_SSH,ARHGAP22_Thymosin,ARHGAP22_WASP,ARHGAP22_WAVE,Arp2_3,Arp2_3_CP,Arp2_3_Cdc42,Arp2_3_Cofilin,Arp2_3_Coronin,Arp2_3_Cortactin,Arp2_3_Dia1,Arp2_3_Dia2,Arp2_3_Ena_Vasp,Arp2_3_IRSp53_Cdc42,Arp2_3_IRSp53_Rac1,Arp2_3_LIMK,Arp2_3_NET1,Arp2_3_PAK,Arp2_3_PIP2,Arp2_3_PKD,Arp2_3_Profilin,Arp2_3_ROCK,Arp2_3_ROS,Arp2_3_Rac1,Arp2_3_RhoA,Arp2_3_SSH,Arp2_3_Thymosin,Arp2_3_WASP,Arp2_3_WAVE,CP,CP_Cdc42,CP_Cofilin,CP_Coronin,CP_Cortactin,CP_Dia1,CP_Dia2,CP_Ena_Vasp,CP_IRSp53_Cdc42,CP_IRSp53_Rac1,CP_LIMK,CP_NET1,CP_PAK,CP_PIP2,CP_PKD,CP_Profilin,CP_ROCK,CP_ROS,CP_Rac1,CP_RhoA,CP_SSH,CP_Thymosin,CP_WASP,CP_WAVE,Cdc42,Cdc42_Cofilin,Cdc42_Coronin,Cdc42_Cortactin,Cdc42_Dia1,Cdc42_Dia2,Cdc42_Ena_Vasp,Cdc42_IRSp53_Cdc42,Cdc42_IRSp53_Rac1,Cdc42_LIMK,Cdc42_NET1,Cdc42_PAK,Cdc42_PIP2,Cdc42_PKD,Cdc42_Profilin,Cdc42_ROCK,Cdc42_ROS,Cdc42_Rac1,Cdc42_RhoA,Cdc42_SSH,Cdc42_Thymosin,Cdc42_WASP,Cdc42_WAVE,Cofilin,Cofilin_Coronin,Cofilin_Cortactin,Cofilin_Dia1,Cofilin_Dia2,Cofilin_Ena_Vasp,Cofilin_IRSp53_Cdc42,Cofilin_IRSp53_Rac1,Cofilin_LIMK,Cofilin_NET1,Cofilin_PAK,Cofilin_PIP2,Cofilin_PKD,Cofilin_Profilin,Cofilin_ROCK,Cofilin_ROS,Cofilin_Rac1,Cofilin_RhoA,Cofilin_SSH,Cofilin_Thymosin,Cofilin_WASP,Cofilin_WAVE,Coronin,Coronin_Cortactin,Coronin_Dia1,Coronin_Dia2,Coronin_Ena_Vasp,Coronin_IRSp53_Cdc42,Coronin_IRSp53_Rac1,Coronin_LIMK,Coronin_NET1,Coronin_PAK,Coronin_PIP2,Coronin_PKD,Coronin_Profilin,Coronin_ROCK,Coronin_ROS,Coronin_Rac1,Coronin_RhoA,Coronin_SSH,Coronin_Thymosin,Coronin_WASP,Coronin_WAVE,Cortactin,Cortactin_Dia1,Cortactin_Dia2,Cortactin_Ena_Vasp,Cortactin_IRSp53_Cdc42,Cortactin_IRSp53_Rac1,Cortactin_LIMK,Cortactin_NET1,Cortactin_PAK,Cortactin_PIP2,Cortactin_PKD,Cortactin_Profilin,Cortactin_ROCK,Cortactin_ROS,Cortactin_Rac1,Cortactin_RhoA,Cortactin_SSH,Cortactin_Thymosin,Cortactin_WASP,Cortactin_WAVE,Dia1,Dia1_Dia2,Dia1_Ena_Vasp,Dia1_IRSp53_Cdc42,Dia1_IRSp53_Rac1,Dia1_LIMK,Dia1_NET1,Dia1_PAK,Dia1_PIP2,Dia1_PKD,Dia1_Profilin,Dia1_ROCK,Dia1_ROS,Dia1_Rac1,Dia1_RhoA,Dia1_SSH,Dia1_Thymosin,Dia1_WASP,Dia1_WAVE,Dia2,Dia2_Ena_Vasp,Dia2_IRSp53_Cdc42,Dia2_IRSp53_Rac1,Dia2_LIMK,Dia2_NET1,Dia2_PAK,Dia2_PIP2,Dia2_PKD,Dia2_Profilin,Dia2_ROCK,Dia2_ROS,Dia2_Rac1,Dia2_RhoA,Dia2_SSH,Dia2_Thymosin,Dia2_WASP,Dia2_WAVE,Ena_Vasp,Ena_Vasp_IRSp53_Cdc42,Ena_Vasp_IRSp53_Rac1,Ena_Vasp_LIMK,Ena_Vasp_NET1,Ena_Vasp_PAK,Ena_Vasp_PIP2,Ena_Vasp_PKD,Ena_Vasp_Profilin,Ena_Vasp_ROCK,Ena_Vasp_ROS,Ena_Vasp_Rac1,Ena_Vasp_RhoA,Ena_Vasp_SSH,Ena_Vasp_Thymosin,Ena_Vasp_WASP,Ena_Vasp_WAVE,IRSp53_Cdc42,IRSp53_Cdc42_IRSp53_Rac1,IRSp53_Cdc42_LIMK,IRSp53_Cdc42_NET1,IRSp53_Cdc42_PAK,IRSp53_Cdc42_PIP2,IRSp53_Cdc42_PKD,IRSp53_Cdc42_Profilin,IRSp53_Cdc42_ROCK,IRSp53_Cdc42_ROS,IRSp53_Cdc42_Rac1,IRSp53_Cdc42_RhoA,IRSp53_Cdc42_SSH,IRSp53_Cdc42_Thymosin,IRSp53_Cdc42_WASP,IRSp53_Cdc42_WAVE,IRSp53_Rac1,IRSp53_Rac1_LIMK,IRSp53_Rac1_NET1,IRSp53_Rac1_PAK,IRSp53_Rac1_PIP2,IRSp53_Rac1_PKD,IRSp53_Rac1_Profilin,IRSp53_Rac1_ROCK,IRSp53_Rac1_ROS,IRSp53_Rac1_Rac1,IRSp53_Rac1_RhoA,IRSp53_Rac1_SSH,IRSp53_Rac1_Thymosin,IRSp53_Rac1_WASP,IRSp53_Rac1_WAVE,LIMK,LIMK_NET1,LIMK_PAK,LIMK_PIP2,LIMK_PKD,LIMK_Profilin,LIMK_ROCK,LIMK_ROS,LIMK_Rac1,LIMK_RhoA,LIMK_SSH,LIMK_Thymosin,LIMK_WASP,LIMK_WAVE,NET1,NET1_PAK,NET1_PIP2,NET1_PKD,NET1_Profilin,NET1_ROCK,NET1_ROS,NET1_Rac1,NET1_RhoA,NET1_SSH,NET1_Thymosin,NET1_WASP,NET1_WAVE,PAK,PAK_PIP2,PAK_PKD,PAK_Profilin,PAK_ROCK,PAK_ROS,PAK_Rac1,PAK_RhoA,PAK_SSH,PAK_Thymosin,PAK_WASP,PAK_WAVE,PIP2,PIP2_PKD,PIP2_Profilin,PIP2_ROCK,PIP2_ROS,PIP2_Rac1,PIP2_RhoA,PIP2_SSH,PIP2_Thymosin,PIP2_WASP,PIP2_WAVE,PKD,PKD_Profilin,PKD_ROCK,PKD_ROS,PKD_Rac1,PKD_RhoA,PKD_SSH,PKD_Thymosin,PKD_WASP,PKD_WAVE,Profilin,Profilin_ROCK,Profilin_ROS,Profilin_Rac1,Profilin_RhoA,Profilin_SSH,Profilin_Thymosin,Profilin_WASP,Profilin_WAVE,ROCK,ROCK_ROS,ROCK_Rac1,ROCK_RhoA,ROCK_SSH,ROCK_Thymosin,ROCK_WASP,ROCK_WAVE,ROS,ROS_Rac1,ROS_RhoA,ROS_SSH,ROS_Thymosin,ROS_WASP,ROS_WAVE,Rac1,Rac1_RhoA,Rac1_SSH,Rac1_Thymosin,Rac1_WASP,Rac1_WAVE,RhoA,RhoA_SSH,RhoA_Thymosin,RhoA_WASP,RhoA_WAVE,SSH,SSH_Thymosin,SSH_WASP,SSH_WAVE,Thymosin,Thymosin_WASP,Thymosin_WAVE,WASP,WASP_WAVE,WAVE,mean
Dia2,70,58,65,58,13,58,57,62,71,0,57,58,57,57,48,75,59,57,54,55,62,100,49,54,56,65,59,80,78,60,81,81,79,100,0,79,80,79,81,48,87,80,74,80,63,87,100,51,81,81,80,79,71,37,71,70,71,79,0,71,69,71,71,48,85,71,65,71,59,79,100,50,68,73,73,74,37,39,36,41,57,0,38,37,38,38,0,72,38,29,34,17,57,100,0,36,34,46,44,71,69,73,83,0,71,69,72,71,52,86,72,69,70,59,80,100,50,71,69,76,74,70,73,77,0,67,70,69,69,50,87,69,70,69,58,82,100,50,72,69,71,71,72,86,0,73,72,72,71,50,86,72,66,69,60,81,100,51,70,70,78,76,81,0,79,79,80,82,54,100,81,80,79,73,90,100,50,77,79,86,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,70,72,71,52,86,70,66,69,59,78,100,50,72,70,74,74,73,69,72,50,85,70,64,68,60,79,100,52,71,70,73,73,71,69,51,85,70,66,70,59,79,100,51,69,71,74,75,69,48,86,71,66,69,59,79,100,50,72,67,73,72,48,50,49,49,48,51,50,47,49,48,50,51,52,86,85,74,86,74,100,100,50,86,86,87,85,71,67,69,57,79,100,50,71,67,73,72,68,66,61,68,100,49,69,65,67,68,68,57,78,100,51,70,70,69,71,60,64,100,51,56,56,65,61,81,100,50,81,79,82,81,100,50,100,100,100,100,51,50,50,50,51,71,70,71,73,70,72,72,74,77,71,63.33806818181818
Ena_Vasp,90,92,72,91,85,75,91,80,94,91,0,88,93,95,89,84,92,92,94,92,89,98,88,81,99,55,83,87,86,72,86,87,86,97,87,0,71,86,87,66,91,80,71,86,70,91,97,67,88,92,78,86,90,79,82,90,82,94,90,0,86,90,94,83,90,86,87,90,91,94,98,83,87,97,69,88,80,62,81,66,87,80,0,80,81,87,65,82,73,78,80,86,88,95,68,77,94,38,75,81,81,78,86,80,0,61,82,80,71,88,74,70,79,69,87,97,67,82,96,70,81,91,85,95,91,0,82,91,92,78,91,92,79,91,87,94,100,79,89,97,71,91,83,90,84,0,75,82,84,72,90,78,76,85,76,91,96,73,82,91,74,83,94,94,0,90,95,98,82,95,92,82,94,85,96,98,83,93,99,79,93,91,0,88,90,94,82,90,86,88,91,92,94,98,84,88,97,72,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,87,90,81,86,84,83,85,87,91,82,78,72,96,19,77,90,93,83,90,86,88,90,93,94,98,83,88,96,70,88,93,81,91,92,87,94,91,95,97,83,92,96,69,89,82,65,74,85,84,88,83,64,83,73,87,51,73,91,88,81,90,84,99,96,66,91,96,83,91,86,83,88,91,93,96,74,86,92,70,86,88,89,93,90,69,82,73,93,48,82,89,93,94,97,86,88,97,68,89,91,96,66,85,76,96,49,84,93,97,82,92,97,77,93,98,65,100,98,95,97,84,75,87,50,76,89,97,71,88,97,68,95,70,74,88,78.51988636363636
IRSp53_Cdc42,49,50,50,51,0,50,51,51,50,49,50,0,50,51,48,50,51,49,48,47,51,51,49,48,51,50,50,49,46,0,51,49,48,49,50,48,0,47,50,48,50,48,50,50,51,51,48,51,49,51,50,47,51,0,50,51,51,50,52,50,0,50,51,48,48,50,49,52,51,50,52,50,49,55,49,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,48,49,51,47,50,0,51,49,52,51,51,52,49,47,49,48,50,51,48,51,49,50,52,48,51,46,0,49,47,50,51,48,50,48,51,52,49,50,54,49,51,50,49,50,53,50,0,49,52,50,50,52,50,51,50,51,47,51,47,50,49,49,51,48,51,0,51,49,54,49,49,51,51,51,50,51,50,47,51,50,52,53,50,0,51,50,49,47,49,51,50,52,51,50,51,51,50,54,50,48,0,53,50,52,50,49,50,50,51,48,51,50,51,52,50,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,48,51,49,49,51,51,50,50,47,51,48,51,50,53,49,48,51,52,49,50,50,49,49,50,52,47,48,48,48,50,49,49,48,51,50,47,49,48,50,51,52,51,48,49,50,48,51,51,50,47,50,51,49,50,51,51,48,49,51,50,50,48,49,49,52,52,53,47,52,49,48,50,48,51,47,50,50,48,51,49,52,50,49,50,53,50,51,50,49,49,51,52,51,50,49,48,50,50,52,50,51,50,50,52,51,50,50,50,51,52,50,49,49,51,51,51,49,50,48,42.70170454545455
IRSp53_Rac1,63,76,15,78,58,64,81,61,65,76,77,77,0,78,69,50,78,77,82,77,83,0,67,78,83,35,47,10,11,20,9,10,11,0,10,10,10,0,10,0,27,11,13,10,12,13,0,0,9,10,10,11,65,36,53,65,55,57,65,64,64,0,65,59,29,65,68,67,76,68,0,60,64,71,26,41,35,34,36,32,24,36,35,36,0,35,27,28,36,45,37,56,43,0,30,36,38,30,31,52,61,32,46,52,53,52,0,51,49,28,53,51,63,62,56,0,49,62,66,21,29,63,64,58,65,62,65,0,62,62,26,65,64,65,79,68,0,63,65,66,38,62,53,45,55,54,53,0,57,47,28,65,55,67,58,59,0,48,58,67,16,12,59,56,59,56,0,56,59,0,56,58,60,64,56,0,59,55,62,17,33,66,66,65,0,64,60,29,65,71,67,76,69,0,61,63,68,26,40,63,63,0,64,62,27,65,70,67,78,68,0,61,63,69,27,40,66,0,65,61,29,64,68,65,76,69,0,60,64,68,26,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,58,28,67,68,67,76,69,0,61,65,66,28,41,59,0,61,61,62,67,60,0,59,60,65,19,31,28,28,48,28,50,13,0,0,26,28,27,28,65,71,68,76,69,0,61,61,67,29,48,69,73,76,76,0,60,62,73,32,40,65,81,70,0,64,65,70,54,61,76,86,0,63,78,81,35,48,68,0,60,64,69,30,46,0,0,0,0,0,0,60,61,65,19,32,63,66,33,61,68,42,61,26,16,41,43.80397727272727
LIMK,35,13,59,12,19,14,19,20,30,13,13,15,12,0,1,64,13,1,12,1,8,85,2,93,10,15,19,75,73,77,75,93,75,84,75,76,74,76,0,34,89,73,25,74,24,82,85,37,93,75,74,76,33,60,34,42,34,37,34,33,32,35,0,2,86,34,5,31,1,35,82,2,94,28,45,35,62,61,76,63,68,62,63,60,61,0,0,85,60,6,61,0,64,92,0,90,60,62,64,34,44,38,38,35,33,33,33,0,3,85,33,6,34,1,37,85,3,95,34,46,38,43,41,48,42,45,40,45,0,3,100,41,20,41,2,43,100,3,95,40,68,44,37,43,33,37,36,37,0,4,86,34,5,30,2,38,85,3,94,33,52,45,37,40,35,40,37,0,3,87,39,13,38,2,42,84,2,97,34,53,38,32,31,34,33,0,2,84,32,4,32,1,34,86,2,95,31,44,35,35,34,32,0,2,88,34,6,32,1,35,85,2,95,29,45,35,31,35,0,2,85,35,6,33,1,33,85,2,95,31,45,36,34,0,2,85,33,6,33,1,34,87,3,95,32,47,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,1,3,35,3,63,0,16,5,84,85,1,86,0,87,91,0,100,87,87,85,33,5,30,1,35,85,2,95,31,43,36,6,4,1,6,56,1,83,3,10,6,36,0,33,84,1,94,29,37,34,1,1,35,2,81,0,3,2,37,87,2,98,35,48,39,86,38,100,85,85,86,3,65,0,16,4,95,95,95,95,31,39,31,45,59,36,37.79261363636363
NET1,35,22,21,19,40,21,18,24,32,21,21,21,20,19,0,100,22,21,18,21,11,49,30,18,17,28,21,40,42,78,38,42,41,51,39,41,41,42,39,0,100,41,32,39,16,35,52,49,42,39,40,41,33,64,34,33,32,39,32,33,33,33,33,0,100,34,29,32,21,29,48,37,33,29,36,33,65,66,64,65,76,64,65,64,65,65,0,100,64,55,63,44,57,100,70,64,62,70,69,34,35,35,39,36,33,34,33,34,0,100,33,28,34,25,31,52,36,33,34,36,37,34,33,39,33,36,32,34,35,0,100,34,33,35,18,30,51,34,31,34,33,35,35,43,32,35,33,35,31,0,100,32,25,31,24,30,53,40,37,33,38,38,38,40,37,40,37,40,0,100,40,37,37,33,40,49,37,40,37,43,42,31,32,33,33,33,0,100,34,27,32,22,29,50,35,33,32,33,34,34,35,32,34,0,100,34,28,32,20,30,49,35,33,31,35,34,31,36,31,0,100,35,29,35,21,28,52,36,32,32,35,36,33,35,0,100,34,27,33,23,29,53,35,36,33,37,33,34,0,100,32,29,32,23,30,51,36,33,34,37,36,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,98,100,100,100,100,100,100,100,100,100,33,27,32,24,30,49,36,34,33,36,34,27,26,20,21,48,37,35,27,31,28,34,19,28,52,34,34,30,32,35,22,11,50,33,19,19,30,22,30,49,37,33,31,32,31,48,50,49,50,50,48,35,35,35,41,41,32,34,36,36,32,33,33,37,38,35,38.04545454545455
PAK,65,78,65,80,58,77,82,73,68,78,79,79,79,80,71,0,78,79,82,79,85,51,70,82,83,70,72,59,57,20,61,58,59,49,59,58,58,58,60,48,0,59,62,60,63,65,48,51,58,61,60,58,67,36,66,67,65,61,68,67,67,67,67,63,0,66,71,68,79,71,52,63,67,71,64,67,35,34,36,32,24,36,35,36,35,35,27,0,36,45,37,56,43,0,30,36,38,30,31,66,65,62,61,64,67,66,67,66,65,0,67,72,66,75,69,48,64,67,66,64,63,66,67,61,67,64,68,66,65,65,0,66,67,65,82,70,49,66,69,66,67,65,64,57,67,64,66,64,67,59,0,68,70,69,71,70,47,60,63,67,61,61,62,60,63,60,63,60,64,0,60,63,63,67,60,51,63,60,63,57,58,69,68,67,67,67,63,0,66,73,68,78,71,50,65,67,68,67,65,66,65,68,66,65,0,66,72,68,80,70,51,65,67,69,65,66,69,64,69,64,0,65,71,65,79,72,48,64,68,68,65,64,67,65,64,0,66,73,67,77,71,47,65,64,67,63,66,66,61,0,68,71,68,77,70,49,64,67,66,63,64,62,0,63,64,64,70,64,47,63,63,65,59,58,0,0,0,0,0,0,0,0,0,0,0,0,67,73,68,76,70,51,64,66,67,64,66,73,74,80,79,52,63,65,73,69,72,66,81,72,48,66,66,70,68,65,78,88,50,67,81,81,70,76,70,51,63,67,69,68,69,52,50,51,50,50,52,65,65,65,59,59,68,66,64,64,68,67,67,63,62,64,58.56818181818182
PIP2,49,48,38,48,46,48,50,45,51,50,50,52,51,51,50,50,0,53,53,50,47,49,50,49,50,46,47,50,49,46,51,49,51,49,49,49,49,50,52,48,50,0,43,48,39,52,53,53,49,49,48,47,50,49,53,50,47,51,50,50,52,51,51,48,50,0,48,50,49,49,48,52,50,53,53,50,52,51,49,48,47,51,49,48,54,49,49,53,0,51,49,50,48,51,49,49,49,51,48,49,48,47,50,49,51,52,50,50,51,49,0,49,48,50,49,50,50,46,50,50,49,50,50,52,49,50,51,50,51,49,48,0,50,50,50,49,47,53,51,46,50,53,50,50,48,52,50,46,50,49,53,0,47,49,44,50,51,51,50,47,47,51,51,50,50,50,51,49,51,48,0,49,54,51,49,53,50,48,48,51,49,52,50,51,51,50,48,50,0,47,50,48,51,50,47,50,53,48,51,49,54,48,51,49,48,0,50,51,46,50,49,47,51,51,48,50,49,51,48,50,50,0,50,51,51,52,51,44,50,49,50,49,50,49,50,48,0,51,52,50,49,48,51,49,50,50,47,52,50,50,0,50,51,51,49,51,48,48,53,49,48,50,50,0,54,50,51,49,49,51,50,49,48,50,51,0,50,49,49,56,52,49,49,49,51,51,0,0,0,0,0,0,0,0,0,0,0,49,48,51,50,52,48,49,50,50,52,49,50,52,53,51,56,50,52,53,49,49,49,51,50,51,52,48,48,50,48,50,49,51,51,52,49,51,49,48,52,50,52,47,50,52,49,50,50,50,48,47,48,50,51,49,46.03977272727273
PKD,20,4,13,4,6,4,6,7,18,4,4,5,4,4,0,44,4,0,4,0,7,46,0,6,3,4,6,29,30,57,28,32,29,46,29,30,30,30,29,0,68,29,0,28,0,32,47,0,33,28,29,30,18,32,19,20,18,25,18,18,17,18,17,0,64,19,0,16,0,26,44,0,19,16,20,18,32,34,36,36,50,33,33,32,33,33,0,64,33,0,30,0,50,92,0,36,30,38,39,18,21,20,27,20,18,18,18,18,0,65,17,0,18,0,27,49,0,20,18,19,21,20,21,29,20,21,19,20,22,0,74,20,0,21,0,30,51,0,18,20,20,21,20,32,19,21,19,20,17,0,65,18,0,16,0,27,48,0,23,18,25,24,27,28,24,28,26,29,0,87,28,0,25,0,34,45,0,30,25,29,29,17,17,18,18,18,0,63,18,0,17,0,26,47,0,20,17,19,20,19,19,17,19,0,67,19,0,17,0,26,45,0,20,16,20,19,17,19,18,0,64,19,0,18,0,25,47,0,20,17,19,21,18,18,0,63,18,0,17,0,26,48,0,22,18,21,20,18,0,65,17,0,17,0,27,46,0,20,18,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64,0,65,0,87,91,0,74,65,66,64,18,0,17,0,26,46,0,21,17,21,20,0,0,0,0,0,0,0,0,0,0,19,0,25,47,0,21,16,17,20,0,0,0,0,0,0,0,0,27,44,0,33,28,28,27,44,0,49,46,45,45,0,0,0,0,0,19,20,22,23,17,18,18,21,23,20,20.142045454545453
Profilin,89,92,64,93,89,87,95,83,83,92,93,93,94,94,87,94,92,93,0,94,94,87,85,94,97,63,73,73,74,76,71,72,74,49,74,73,73,73,75,52,91,69,71,0,61,80,85,52,73,92,34,72,89,82,86,89,81,76,89,88,89,89,89,80,91,85,90,0,93,95,86,80,89,95,56,76,83,81,81,78,59,83,82,83,84,83,65,88,74,87,0,91,96,100,69,82,87,70,74,85,87,68,71,86,86,86,80,84,75,90,81,83,0,87,93,83,75,87,93,49,64,89,88,78,89,89,89,86,89,81,90,86,89,0,94,97,86,82,88,92,70,77,81,66,82,83,80,80,83,69,91,84,80,0,80,90,87,69,85,93,42,72,79,76,78,75,74,75,78,51,65,79,0,83,74,52,80,74,86,32,62,90,90,90,89,90,79,91,85,92,0,92,96,87,81,88,94,55,77,88,89,90,90,79,91,85,92,0,93,97,86,80,87,94,58,76,89,89,89,82,91,84,91,0,93,96,86,79,88,93,56,76,89,89,81,91,85,91,0,94,95,87,80,82,94,46,76,90,78,91,87,91,0,93,97,90,80,89,93,58,78,79,50,71,82,0,86,80,51,79,79,87,35,62,91,88,93,0,95,100,100,53,90,95,81,88,85,88,0,90,95,89,71,82,87,62,80,91,0,93,96,86,79,88,94,60,80,0,0,0,0,0,0,0,0,0,92,97,85,82,94,96,63,78,95,85,79,95,98,68,85,86,51,85,100,50,85,80,81,87,35,65,88,93,67,71,94,73,93,58,27,78,75.5284090909091
ROCK,20,4,13,4,6,4,6,7,18,4,4,5,4,4,0,44,4,0,4,0,7,46,0,6,3,4,6,29,30,57,28,32,29,46,29,30,30,30,29,0,68,29,15,28,0,32,47,0,33,28,29,30,18,32,19,20,18,25,18,18,17,18,17,0,64,19,8,16,0,26,44,0,19,16,20,18,32,34,36,36,50,33,33,32,33,33,0,64,33,11,30,0,50,92,0,36,30,38,39,18,21,20,27,20,18,18,18,18,0,65,17,8,18,0,27,49,0,20,18,19,21,20,21,29,20,21,19,20,22,0,74,20,20,21,0,30,51,0,18,20,20,21,20,32,19,21,19,20,17,0,65,18,8,16,0,27,48,0,23,18,25,24,27,28,24,28,26,29,0,87,28,17,25,0,34,45,0,30,25,29,29,17,17,18,18,18,0,63,18,7,17,0,26,47,0,20,17,19,20,19,19,17,19,0,67,19,9,17,0,26,45,0,20,16,20,19,17,19,18,0,64,19,9,18,0,25,47,0,20,17,19,21,18,18,0,63,18,8,17,0,26,48,0,22,18,21,20,18,0,65,17,8,17,0,27,46,0,20,18,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64,1,65,0,87,91,0,74,65,66,64,18,8,17,0,26,46,0,21,17,21,20,8,7,0,11,38,0,21,6,8,8,19,0,25,47,0,21,16,17,20,0,0,0,0,0,0,0,0,27,44,0,33,28,28,27,44,0,49,46,45,45,0,0,0,0,0,19,20,22,23,17,18,18,21,23,20,20.835227272727273
ROS,63,76,15,78,58,64,81,61,65,76,77,77,64,78,69,50,78,77,82,77,0,0,67,78,83,35,47,10,11,20,9,10,11,0,10,10,10,11,10,0,27,11,13,10,12,0,0,0,9,10,10,11,65,36,53,65,55,57,65,64,64,51,65,59,29,65,68,67,76,0,0,60,64,71,26,41,35,34,36,32,24,36,35,36,35,35,27,28,36,45,37,56,0,0,30,36,38,30,31,52,61,32,46,52,53,52,49,51,49,28,53,51,63,62,0,0,49,62,66,21,29,63,64,58,65,62,65,60,62,62,26,65,64,65,79,0,0,63,65,66,38,62,53,45,55,54,53,42,57,47,28,65,55,67,58,0,0,48,58,67,16,12,59,56,59,56,46,56,59,0,56,58,60,64,0,0,59,55,62,17,33,66,66,65,52,64,60,29,65,71,67,76,0,0,61,63,68,26,40,63,63,53,64,62,27,65,70,67,78,0,0,61,63,69,27,40,66,51,65,61,29,64,68,65,76,0,0,60,64,68,26,38,53,52,48,29,53,49,66,62,0,0,47,54,62,26,40,64,58,28,67,68,67,76,0,0,61,65,66,28,41,59,0,61,61,62,67,0,0,59,60,65,19,31,28,28,48,28,50,0,0,0,26,28,27,28,65,71,68,76,0,0,61,61,67,29,48,69,73,76,0,0,60,62,73,32,40,65,81,0,0,64,65,70,54,61,76,0,0,63,78,81,35,48,0,0,0,0,0,0,0,0,0,0,0,0,0,60,61,65,19,32,63,66,33,61,68,42,61,26,16,41,43.01704545454545
Rac1,63,76,15,78,58,64,81,61,65,76,77,77,64,78,69,50,78,77,82,77,83,0,67,78,83,35,47,10,11,20,9,10,11,0,10,10,10,11,10,0,27,11,13,10,12,13,0,0,9,10,10,11,65,36,53,65,55,57,65,64,64,51,65,59,29,65,68,67,76,68,0,60,64,71,26,41,35,34,36,32,24,36,35,36,35,35,27,28,36,45,37,56,43,0,30,36,38,30,31,52,61,32,46,52,53,52,49,51,49,28,53,51,63,62,56,0,49,62,66,21,29,63,64,58,65,62,65,60,62,62,26,65,64,65,79,68,0,63,65,66,38,62,53,45,55,54,53,42,57,47,28,65,55,67,58,59,0,48,58,67,16,12,59,56,59,56,46,56,59,0,56,58,60,64,56,0,59,55,62,17,33,66,66,65,52,64,60,29,65,71,67,76,69,0,61,63,68,26,40,63,63,53,64,62,27,65,70,67,78,68,0,61,63,69,27,40,66,51,65,61,29,64,68,65,76,69,0,60,64,68,26,38,53,52,48,29,53,49,66,62,57,0,47,54,62,26,40,64,58,28,67,68,67,76,69,0,61,65,66,28,41,59,0,61,61,62,67,60,0,59,60,65,19,31,28,28,48,28,50,13,0,0,26,28,27,28,65,71,68,76,69,0,61,61,67,29,48,69,73,76,76,0,60,62,73,32,40,65,81,70,0,64,65,70,54,61,76,86,0,63,78,81,35,48,68,0,60,64,69,30,46,0,0,0,0,0,0,60,61,65,19,32,63,66,33,61,68,42,61,26,16,41,47.24715909090909
RhoA,22,8,15,7,13,9,6,11,21,8,8,8,7,6,0,50,8,8,5,8,11,49,0,6,5,14,9,31,32,60,30,32,31,51,31,32,32,32,31,0,73,32,24,30,12,35,52,0,33,30,31,32,20,37,21,20,21,30,20,20,20,20,20,0,71,21,17,19,8,29,48,0,19,18,24,21,37,39,36,41,57,37,38,37,38,38,0,72,38,29,34,17,57,100,0,36,34,46,44,21,21,24,31,23,21,21,20,21,0,72,21,17,21,12,31,52,0,20,20,25,25,20,21,29,20,21,19,20,22,0,74,20,20,21,7,30,51,0,18,20,20,21,22,37,21,23,21,23,19,0,72,20,15,18,11,30,53,0,23,20,28,27,30,31,28,32,29,32,0,100,32,28,28,22,40,49,0,30,28,36,37,19,19,20,20,20,0,71,21,15,19,9,29,50,0,20,19,22,23,21,21,19,21,0,73,21,16,19,8,30,49,0,20,18,24,22,20,22,19,0,71,21,17,21,9,28,52,0,20,19,23,24,20,21,0,71,21,15,19,9,29,53,0,22,20,24,22,21,0,72,19,17,19,10,30,51,0,20,20,25,24,0,0,0,0,0,0,0,0,0,0,0,0,0,72,72,50,72,50,100,100,0,74,72,73,72,21,15,19,9,30,49,0,21,19,24,22,16,14,8,21,48,0,21,14,19,17,20,7,28,52,0,21,18,19,22,10,11,50,0,7,7,16,10,30,49,0,33,31,32,31,48,0,49,50,50,48,0,0,0,0,0,19,20,22,23,19,21,21,25,27,23,24.62784090909091
