type,path
pos,Cortactin -> WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> SSH -| ROCK -> PKD -| Cortactin
pos,Cortactin -> WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> ROS -| RhoA -> ROCK -> PKD -| Cortactin
pos,Cortactin -> WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> PAK -| NET1 -> RhoA -> ROCK -> PKD -| Cortactin
pos,Cortactin -> WASP -> Ena_Vasp -| CP -| Dia1 -> Rac1 -> Cortactin
neg,Cortactin -> WASP -> Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -| ROCK -> PKD -| Cortactin
neg,Cortactin -> WASP -> Arp2_3 -> CP -| Dia1 -> Rac1 -> ROS -| RhoA -> ROCK -> PKD -| Cortactin
neg,Cortactin -> WASP -> Arp2_3 -> CP -| Dia1 -> Rac1 -> PAK -| NET1 -> RhoA -> ROCK -> PKD -| Cortactin
neg,Cortactin -> WASP -> Arp2_3 -> CP -| Dia1 -> Rac1 -> Cortactin
pos,Cortactin -> WASP -> Arp2_3 -> Rac1 -> SSH -| ROCK -> PKD -| Cortactin
pos,Cortactin -> WASP -> Arp2_3 -> Rac1 -> ROS -| RhoA -> ROCK -> PKD -| Cortactin
pos,Cortactin -> WASP -> Arp2_3 -> Rac1 -> PAK -| NET1 -> RhoA -> ROCK -> PKD -| Cortactin
pos,Cortactin -> WASP -> Arp2_3 -> Rac1 -> Cortactin
pos,Cortactin -> WASP -> Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -| ROCK -> PKD -| Cortactin
pos,Cortactin -> WASP -> Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> ROS -| RhoA -> ROCK -> PKD -| Cortactin
pos,Cortactin -> WASP -> Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> PAK -| NET1 -> RhoA -> ROCK -> PKD -| Cortactin
pos,Cortactin -> WASP -> Profilin -| Arp2_3 -> CP -| Dia1 -> Rac1 -> Cortactin
neg,Cortactin -> WASP -> Profilin -| Arp2_3 -> Rac1 -> SSH -| ROCK -> PKD -| Cortactin
neg,Cortactin -> WASP -> Profilin -| Arp2_3 -> Rac1 -> ROS -| RhoA -> ROCK -> PKD -| Cortactin
neg,Cortactin -> WASP -> Profilin -| Arp2_3 -> Rac1 -> PAK -| NET1 -> RhoA -> ROCK -> PKD -| Cortactin
neg,Cortactin -> WASP -> Profilin -| Arp2_3 -> Rac1 -> Cortactin
neg,Cortactin -> Arp2_3 -> CP -| Dia1 -> Rac1 -> SSH -| ROCK -> PKD -| Cortactin
neg,Cortactin -> Arp2_3 -> CP -| Dia1 -> Rac1 -> ROS -| RhoA -> ROCK -> PKD -| Cortactin
neg,Cortactin -> Arp2_3 -> CP -| Dia1 -> Rac1 -> PAK -| NET1 -> RhoA -> ROCK -> PKD -| Cortactin
