,"activity, %"
ARHGAP22,11
Actin_BR,76
Actin_ST,54
Arp2_3,76
CP,39
Cdc42,47
Cofilin,82
Coronin,91
Cortactin,76
Dia1,21
Dia2,68
Ena_Vasp,90
IRSp53_Cdc42,47
IRSp53_Rac1,76
LIMK,6
NET1,21
PAK,79
PIP2,50
PKD,0
Profilin,96
ROCK,11
ROS,0
Rac1,76
RhoA,21
SSH,91
Thymosin,8
WASP,88
WAVE,88
