,"activity, %"
ARHGAP22,56
Actin_BR,33
Actin_ST,65
Arp2_3,33
CP,51
Cdc42,0
Cofilin,29
Coronin,30
Cortactin,32
Dia1,28
Dia2,94
Ena_Vasp,90
IRSp53_Cdc42,0
IRSp53_Rac1,34
LIMK,68
NET1,66
PAK,34
PIP2,50
PKD,56
Profilin,67
ROCK,56
ROS,0
Rac1,34
RhoA,66
SSH,30
Thymosin,39
WASP,53
WAVE,58
