,"activity, %"
Actin_BR,72
Actin_ST,91
Arp2_3,72
CP,100
Cdc42,49
Cofilin,33
Coronin,0
Cortactin,50
Dia1,0
Dia2,100
Ena_Vasp,86
IRSp53_Cdc42,49
IRSp53_Rac1,50
LIMK,100
PAK,75
PIP2,0
PKD,50
Profilin,100
ROCK,50
Rac1,50
RhoA,50
SSH,0
Thymosin,40
UPSTREAM,50
WASP,60
WAVE,100
