,"activity, %"
Actin_BR,58
Actin_ST,0
Arp2_3,58
CP,50
Cdc42,50
Cofilin,21
Coronin,0
Cortactin,23
Dia1,37
Dia2,88
Ena_Vasp,100
IRSp53,52
LIMK,89
PAK,100
PIP2,50
PKD,77
Profilin,0
ROCK,77
ROCK_,77
Rac1,23
RhoA,77
SSH,11
Thymosin,47
WASP,53
WAVE,23
