,"activity, %"
ARHGAP22,64
Actin_BR,0
Actin_ST,88
Arp2_3,0
CP,0
Cdc42,48
Cofilin,9
Coronin,14
Cortactin,29
Dia1,71
Dia2,85
Ena_Vasp,90
IRSp53_Cdc42,48
IRSp53_Rac1,29
LIMK,86
NET1,100
PAK,0
PIP2,50
PKD,64
Profilin,91
ROCK,64
ROS,29
Rac1,29
RhoA,71
SSH,14
Thymosin,45
WASP,54
WAVE,54
