,"activity, %"
ARHGAP22,29
Actin_BR,53
Actin_ST,59
Arp2_3,53
CP,33
Cdc42,52
Cofilin,63
Coronin,77
Cortactin,0
Dia1,36
Dia2,76
Ena_Vasp,77
IRSp53_Cdc42,52
IRSp53_Rac1,57
LIMK,17
NET1,23
PAK,72
PIP2,46
PKD,0
Profilin,93
ROCK,29
ROS,57
Rac1,57
RhoA,40
SSH,77
Thymosin,23
WASP,67
WAVE,62
