,"activity, %"
ARHGAP22,79
Actin_BR,38
Actin_ST,37
Arp2_3,38
CP,21
Cdc42,50
Cofilin,30
Coronin,16
Cortactin,0
Dia1,0
Dia2,99
Ena_Vasp,97
IRSp53_Cdc42,50
IRSp53_Rac1,15
LIMK,84
NET1,48
PAK,52
PIP2,50
PKD,79
Profilin,55
ROCK,79
ROS,15
Rac1,15
RhoA,86
SSH,16
Thymosin,43
WASP,54
WAVE,20
