,"activity, %"
Actin_BR,45
Actin_ST,29
Arp2_3,45
CP,63
Cdc42,48
Cofilin,40
Coronin,63
Cortactin,50
Dia1,0
Dia2,50
Ena_Vasp,48
IRSp53_Cdc42,48
IRSp53_Rac1,50
LIMK,18
PAK,74
PIP2,46
PKD,0
Profilin,60
ROCK,0
Rac1,50
RhoA,0
SSH,63
Thymosin,60
UPSTREAM,50
WASP,0
WAVE,100
