,"activity, %"
Actin_BR,49
Actin_ST,56
Arp2_3,49
CP,53
Cdc42,49
Cofilin,51
Coronin,63
Cortactin,50
Dia1,0
Dia2,50
Ena_Vasp,86
IRSp53_Cdc42,49
IRSp53_Rac1,50
LIMK,18
PAK,75
PIP2,50
PKD,0
Profilin,64
ROCK,0
Rac1,50
RhoA,0
SSH,63
Thymosin,26
UPSTREAM,50
WASP,74
WAVE,0
