,"activity, %"
ARHGAP22,87
Actin_BR,10
Actin_ST,95
Arp2_3,10
CP,5
Cdc42,0
Cofilin,12
Coronin,13
Cortactin,10
Dia1,91
Dia2,93
Ena_Vasp,100
IRSp53_Cdc42,0
IRSp53_Rac1,10
LIMK,87
NET1,90
PAK,10
PIP2,48
PKD,87
Profilin,100
ROCK,87
ROS,10
Rac1,10
RhoA,93
SSH,13
Thymosin,0
WASP,54
WAVE,14
