,"activity, %"
ARHGAP22,87
Actin_BR,36
Actin_ST,52
Arp2_3,36
CP,52
Cdc42,49
Cofilin,13
Coronin,0
Cortactin,13
Dia1,40
Dia2,0
Ena_Vasp,100
IRSp53_Cdc42,49
IRSp53_Rac1,13
LIMK,100
NET1,50
PAK,50
PIP2,48
PKD,87
Profilin,60
ROCK,87
ROS,13
Rac1,13
RhoA,87
SSH,0
Thymosin,52
WASP,48
WAVE,22
