,"activity, %"
ARHGAP22,20
Actin_BR,64
Actin_ST,0
Arp2_3,64
CP,51
Cdc42,48
Cofilin,64
Coronin,64
Cortactin,64
Dia1,10
Dia2,85
Ena_Vasp,96
IRSp53_Cdc42,48
IRSp53_Rac1,64
LIMK,0
NET1,35
PAK,65
PIP2,50
PKD,20
Profilin,0
ROCK,20
ROS,64
Rac1,64
RhoA,22
SSH,64
Thymosin,18
WASP,78
WAVE,77
