,"activity, %"
ARHGAP22,43
Actin_BR,32
Actin_ST,54
Arp2_3,32
CP,55
Cdc42,0
Cofilin,7
Coronin,0
Cortactin,32
Dia1,18
Dia2,73
Ena_Vasp,82
IRSp53_Cdc42,0
IRSp53_Rac1,32
LIMK,92
NET1,68
PAK,32
PIP2,50
PKD,43
Profilin,64
ROCK,43
ROS,32
Rac1,32
RhoA,43
SSH,0
Thymosin,45
WASP,50
WAVE,57
