,"activity, %"
ARHGAP22,19
Actin_BR,63
Actin_ST,19
Arp2_3,63
CP,63
Cdc42,49
Cofilin,58
Coronin,63
Cortactin,63
Dia1,21
Dia2,70
Ena_Vasp,0
IRSp53_Cdc42,0
IRSp53_Rac1,63
LIMK,34
NET1,35
PAK,65
PIP2,54
PKD,19
Profilin,89
ROCK,19
ROS,63
Rac1,63
RhoA,21
SSH,63
Thymosin,24
WASP,74
WAVE,76
