,"activity, %"
ARHGAP22,92
Actin_BR,10
Actin_ST,11
Arp2_3,10
CP,50
Cdc42,49
Cofilin,1
Coronin,0
Cortactin,8
Dia1,43
Dia2,95
Ena_Vasp,100
IRSp53_Cdc42,49
IRSp53_Rac1,8
LIMK,98
NET1,50
PAK,50
PIP2,50
PKD,92
Profilin,12
ROCK,92
ROS,8
Rac1,8
RhoA,92
SSH,2
Thymosin,99
WASP,0
WAVE,15
