,"activity, %"
Actin_BR,0
Actin_ST,77
Arp2_3,0
CP,50
Cdc42,50
Cofilin,6
Coronin,16
Cortactin,23
Dia1,39
Dia2,87
Ena_Vasp,99
IRSp53,53
LIMK,84
PAK,98
PIP2,50
PKD,73
Profilin,78
ROCK,73
ROCK_,73
Rac1,23
RhoA,78
SSH,16
Thymosin,0
WASP,78
WAVE,23
