,"activity, %"
Actin_BR,35
Actin_ST,64
Arp2_3,35
CP,51
Cdc42,52
Cofilin,26
Coronin,9
Cortactin,0
Dia1,49
Dia2,100
Ena_Vasp,97
IRSp53,52
LIMK,91
PAK,96
PIP2,49
PKD,91
Profilin,64
ROCK,91
ROCK_,91
Rac1,0
RhoA,100
SSH,9
Thymosin,45
WASP,52
WAVE,0
