,"activity, %"
ARHGAP22,0
Actin_BR,66
Actin_ST,67
Arp2_3,66
CP,100
Cdc42,52
Cofilin,88
Coronin,88
Cortactin,66
Dia1,0
Dia2,87
Ena_Vasp,79
IRSp53_Cdc42,52
IRSp53_Rac1,66
LIMK,2
NET1,32
PAK,68
PIP2,0
PKD,0
Profilin,78
ROCK,0
ROS,66
Rac1,66
RhoA,21
SSH,88
Thymosin,12
WASP,78
WAVE,77
