,"activity, %"
ARHGAP22,90
Actin_BR,40
Actin_ST,73
Arp2_3,40
CP,26
Cdc42,50
Cofilin,40
Coronin,10
Cortactin,10
Dia1,74
Dia2,100
Ena_Vasp,100
IRSp53_Cdc42,50
IRSp53_Rac1,10
LIMK,0
NET1,45
PAK,55
PIP2,50
PKD,90
Profilin,100
ROCK,90
ROS,0
Rac1,10
RhoA,100
SSH,10
Thymosin,40
WASP,60
WAVE,10
